Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Male,9500,Liver,electron,1.0,100,Adrenal_left,8.6827395219656,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,200,Adrenal_right,8.682743131804001,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,300,ET1_0~8 um,0.022309011006,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,301,ET1_8~40 um,0.08953171142029999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,302,ET1_40~50 um,0.0280764945985,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,303,ET1_50 um~surface,11.2912058306315,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,400,ET2_-15~0 um,0.1412003875,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,401,ET2_0~40 um,0.38983244306199993,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,402,ET2_40~50 um,0.09782525440189999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,403,ET2_50~55 um,0.0489742500194,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,404,ET2_55~65 um,0.09805441229749999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,405,ET2_65 um~surface,28.8084848041248,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,500,Oral mucosa_tongue,0.08596550424,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,501,Oral mucosa_mouth floor,0.023515567425,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,600,Oral mucosa_lips_and cheeks,0.02307768477,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,700,Trachea,10.363608784414097,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,800,BB1_-11~-6 um,0.0251639823,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,801,BB1_-6~0 um,0.031163358601999997,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,802,BB1_0~10 um,0.052011207849299995,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,803,BB1_10~35 um,0.13041112597489998,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,804,BB1_35~40 um,0.026156756824199996,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,805,BB1_40~50 um,0.0523710067448,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,806,BB1_50~60 um,0.05246035062729999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,807,BB1_60~70 um,0.0525500910324,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,808,BB1_70 um~surface,2.7766745083531,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,900,Blood in large arteries_head,1.50465238386,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,910,Blood in large veins_head,6.9444700345,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,1000,Blood in large arteries_trunk,193.18284020919003,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,1010,Blood in large veins_trunk,444.02205465595,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,1100,Blood in large arteries_arms,32.465638925742,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,1.0,1110,Blood in large veins_arms,167.307070400928,0.0,0.0,0.0,0.0
